index,scores
0,0.978904485702
1,-0.988660514354
2,-0.988866269588
3,-0.988848268985
4,-0.988831698894
5,-0.988873839378
6,-0.988828659057
7,-0.98862993717
8,-0.98920154571
9,-0.989402651786
10,-0.989379584789
11,-0.989369988441
12,-0.9893541336
13,-0.9893464446
14,-0.98951870203
15,-0.989471375942
16,-0.989481925964
17,-0.989453077316
18,-0.989431560039
19,-0.98952662944
20,-0.98926025629
21,-0.989122152328
22,-0.989075660705
23,-0.989093124866
24,-0.989101827144
25,-0.989146292209
26,-0.990109980106
27,-0.990212976932
28,-0.990116417407
29,-0.990161478519
30,-0.989861369132
31,-0.990112781524
32,-0.989995598793
33,-0.989966988563
34,-0.990023910999
35,-0.989960670471
36,-0.990001440048
37,-0.989953756332
38,-0.989802420139
39,-0.990069746971
40,-0.990025937557
41,-0.9899713993
42,-0.990078151226
43,-0.989922642707
44,-0.98997336626
45,-0.989984154701
46,-0.990279138088
47,-0.990256905555
48,-0.990267455577
49,-0.99019694328
50,-0.99015200138
51,-0.990167856216
52,-0.990216374397
53,-0.99011516571
54,-0.990162968635
55,-0.99018555879
56,-0.990186452865
57,-0.9902099967
58,-0.99011594057
59,-0.989881277084
60,-0.990065932273
61,0.978770732879
62,-0.501342952251
63,-0.500945627689
64,-0.2731338739395
65,-0.272732436656
66,-0.990092635154
67,-0.990051746368
68,-0.990160644054
69,-0.990147709846
70,-0.99007302522
71,-0.990125656127
72,-0.99014174938
73,-0.990055322647
74,-0.98911345005
75,-0.98903250694
76,-0.989128947257
77,-0.9891105294
78,-0.98903065919
79,-0.989858210086
80,-0.989874839782
81,-0.989864230155
82,-0.98983502388
83,-0.9898365736
84,-0.989856660366
85,-0.989847838878
86,-0.989795207977
87,-0.989993751049
88,-0.990073919296
89,-0.99002867937
90,-0.990000963211
91,-0.990079283714
92,-0.989962577819
93,-0.98769724369
94,-0.987696826457
95,-0.987312078475
96,0.976925730705
97,-0.98913013935
98,-0.989046871662
99,-0.989195346832
100,-0.989144444465
101,-0.988963365554
102,-0.989114880561
103,-0.98922491073
104,-0.785002708435
105,-0.784680604934
106,-0.784523248672
107,-0.989695310592
108,-0.989740610122
109,-0.989540219306
110,-0.989625453948
111,-0.98952704668
112,-0.987234413623
113,-0.98718500137
114,-0.987312793731
115,-0.987177729606
116,-0.98929548263
117,-0.989297568798
118,-0.98932600021
119,-0.989163160324
120,-0.989281892776
121,0.977274060249
122,-0.876041769981
123,-0.875405192375
124,-0.875756502151
125,-0.896381616592
126,-0.896094739437
127,-0.895944416522
128,-0.989078044891
129,-0.989109694957
130,-0.988970220088
131,-0.988912582397
132,-0.989083409309
133,-0.988979339599
134,-0.988849878311
135,-0.990132927894
136,-0.990214943885
137,-0.990045845508
138,-0.990051507949
139,-0.989742219448
140,-0.989948332309
141,-0.989865899085
142,-0.989869594573
143,-0.989861965179
144,-0.989963471889
145,-0.989902615547
146,-0.990020811557
147,-0.989608585834
148,-0.98704612255
149,-0.986900329589
150,-0.9869068861
151,-0.986916542053
152,-0.990007936954
153,-0.9898802042
154,-0.989864647388
155,-0.989979565143
156,-0.989910006523
157,-0.989888250827
158,-0.866311907768
159,-0.866091370582
160,-0.866229891777
161,-0.988844573497
162,-0.988886535167
163,-0.988743424415
164,-0.98867452144
165,0.05080536007881
166,0.0506977289915
167,0.978745281696
168,-0.957997262477
169,-0.95831060409
170,-0.958018064498
171,0.97867667675
172,0.97728729248
173,-0.925475955009
174,-0.925106763839
175,-0.925380408763
176,-0.2252461910247
177,-0.2255087196826
178,-0.1122717931866
179,-0.1121638193726
180,-0.0856203138828
181,-0.0854283422231
182,-0.1554108411073
183,-0.1557122468948
184,-0.989917457103
185,-0.989900887012
186,-0.989674925804
187,-0.98966050148
188,-0.989580094814
189,-0.4178077578544
190,-0.417172670364
191,-0.3366317749023
192,-0.3361420333385
193,-0.293131709098
194,-0.2929211258888
195,-0.0956429094076
196,-0.0965760722756
197,0.977957129478
198,-0.573234975337
199,-0.573278844356
200,-0.989734232425
201,-0.989747226238
202,-0.989709496498
203,-0.989799916744
204,-0.989631533622
205,-0.989755630493
206,-0.989780306816
207,-0.987259507179
208,-0.987078189849
209,-0.987281799316
210,-0.987267374992
211,-0.988754212856
212,-0.988704621791
213,-0.988779306411
214,-0.988760888576
215,-0.988765597343
216,-0.988703131675
217,-0.990176439285
218,-0.990206003189
219,-0.9901839494
220,-0.990164279937
221,-0.990188598632
222,-0.99008893966
223,-0.990209817886
224,-0.990190982818
225,-0.989362478256
226,-0.989324331283
227,-0.989437699317
228,-0.989373922348
229,-0.98939740657
230,-0.196416705846
231,-0.196816638112
232,-0.814107775688
233,-0.813783288002
234,-0.814259171485
235,-0.989034712314
236,-0.98905301094
237,-0.989044785499
238,-0.98904311656
239,-0.988945782184
240,-0.988961756229
241,-0.989067673683
242,-0.989013969898
243,-0.3720307350158
244,-0.3726085722446
245,-0.988988876342
246,-0.98890089988
247,-0.988599658012
248,-0.988950192928
249,-0.988915979862
250,-0.988990545272
251,-0.961524844169
252,-0.961454570293
253,-0.961456954479
254,-0.331686049699
255,-0.331585139036
256,-0.941570997238
257,-0.941415190696
258,-0.941822528839
259,-0.988783478736
260,-0.988723158836
261,-0.98859244585
262,-0.98872363567
263,0.978162050247
264,-0.985448002815
265,-0.985458433628
266,-0.985280632972
267,-0.985396265983
268,-0.717209935188
269,-0.716577649116
270,-0.716877162456
271,0.978899240493
272,0.0323970913887
273,0.032309859991
274,-0.989942073822
275,-0.989945888519
276,-0.989847958087
277,-0.989817500114
278,-0.989976644515
279,-0.989980518817
280,-0.989842832088
281,0.978900909423
282,0.977932095527
283,-0.956935346126
284,-0.9567617774
285,-0.957013666629
286,0.0525072813034
287,0.0530084073543
288,0.97890090942382
289,-0.0850932896137
290,-0.0844876021146
291,0.97793209552764
292,-0.989708900451
293,-0.989720761775
294,-0.989737033843
295,-0.989739656448
296,-0.989665031433
297,-0.989619731903
298,-0.989684462547
299,0.0252195596694
300,0.02490347623825
301,0.977333784103
302,-0.1309505552053
303,-0.1303930878639
304,-0.02320979535579
305,-0.0228725373744
306,-0.2666333913803
307,-0.26621645689
308,0.97733378410339
309,0.97733378410339
310,0.97733378410339
311,0.97733378410339
312,0.978043437004
313,0.976964235305
314,0.97793209552764
315,0.00858855247497
316,0.00929084420204
317,0.97918844223
318,0.97793209552764
319,0.119211167097
320,0.1194052845239
321,0.97793209552764
322,0.97793209552764
323,0.97793209552764
324,0.97793209552764
325,0.978672385215
326,0.978826284408
327,-0.108305349946
328,-0.107407569885
329,-0.989812612533
330,-0.989875435829
331,-0.989899933338
332,-0.989780545234
333,-0.98976123332
334,-0.1063028275966
335,-0.106057472527
336,-0.987222731113
337,-0.987252533435
338,-0.987306833267
339,-0.987188577651
340,-0.988268971443
341,-0.988296687602
342,-0.988198399543
343,-0.988100349903
344,-0.0893333405256
345,-0.089723020792
346,0.97906440496
347,-0.950617849826
348,-0.950697898864
349,-0.950550436973
350,-0.98972034454
351,-0.989612698554
352,-0.989750385284
353,-0.989619195461
354,-0.989643156528
355,-0.989755094051
356,-0.989628672599
357,-0.173751682043
358,-0.1723202913999
359,-0.173751682043075
360,-0.172320291399955
361,-0.1156816780567
362,-0.1154315769672
363,0.97389101982
364,-0.295499503612
365,-0.2944443821907
366,0.977151453495
367,0.97957605123
368,-0.989448904991
369,-0.989391684532
370,-0.98948192596435
371,-0.98944979906
372,-0.989439666271
373,-0.989437818527
374,-0.989441275596
375,-0.989492952823
376,-0.989323973655
377,-0.989596545696
378,-0.98962545394897
379,-0.989395439624
380,-0.989605486392
381,0.97659099102
382,0.97817409038
383,0.9781740903854
384,-0.2354262471199
